t/s,X1/degC,Y/%,X2/degC,X3/degC
10.6,23.28,0.0,23.56,23.28
10.8,23.28,36.9,23.56,23.28
11.0,23.28,36.9,23.56,23.28
11.2,23.28,36.9,23.56,23.28
11.4,23.28,49.8,23.56,23.28
11.6,23.28,49.8,23.56,23.28
11.8,23.28,51.4,23.56,23.28
12.0,23.28,51.4,23.56,23.28
12.2,23.28,51.4,23.56,23.28
12.4,23.28,51.4,23.56,23.28
12.6,23.28,51.4,23.56,23.28
12.8,23.28,49.8,23.56,23.28
13.0,23.28,49.8,23.56,23.28
13.2,23.28,49.8,23.56,23.28
13.4,23.28,49.8,23.56,23.28
13.6,23.28,49.8,23.56,23.28
13.8,23.28,49.8,23.56,23.28
14.0,23.28,49.8,23.56,23.28
14.2,23.28,49.8,23.56,23.28
14.4,23.28,49.8,23.56,23.28
14.6,23.28,49.8,23.56,23.28
14.8,23.28,49.8,23.56,23.28
15.0,23.28,49.8,23.56,23.28
15.2,23.28,49.8,23.56,23.28
15.4,23.28,49.8,23.56,23.28
15.6,23.28,49.8,23.56,23.28
15.8,23.28,49.9,23.56,23.28
16.0,23.28,49.9,23.56,23.28
16.2,23.28,49.9,23.56,23.28
16.4,23.28,50.0,23.56,23.28
16.6,23.28,50.0,23.56,23.28
16.8,23.28,50.0,23.56,23.28
17.0,23.28,50.0,23.56,23.28
17.2,23.28,50.0,23.56,23.28
17.4,23.56,50.0,23.56,23.28
17.6,23.56,50.0,23.56,23.28
17.8,23.56,50.0,23.56,23.28
18.0,23.56,50.0,23.56,23.28
18.2,23.56,50.0,23.56,23.28
18.4,23.56,50.0,23.56,23.28
18.6,23.56,50.0,23.56,23.28
18.8,23.56,50.0,23.56,23.28
19.0,23.56,50.0,23.56,23.28
19.2,23.56,50.0,23.56,23.28
19.4,23.56,50.0,23.56,23.28
19.6,23.86,50.0,23.56,23.28
19.8,23.86,50.0,23.56,23.28
20.0,23.86,50.0,23.56,23.28
20.2,23.86,50.0,23.56,23.28
20.4,23.86,50.0,23.56,23.28
20.6,23.86,50.0,23.56,23.28
20.8,24.15,50.0,23.56,23.28
21.0,24.15,50.0,23.56,23.28
21.2,24.15,50.0,23.56,23.28
21.4,24.15,50.0,23.56,23.28
21.6,24.15,50.0,23.56,23.28
21.8,24.15,50.0,23.56,23.28
22.0,24.43,50.0,23.56,23.28
22.2,24.43,50.0,23.56,23.28
22.4,24.43,50.0,23.56,23.28
22.6,24.43,50.0,23.56,23.28
22.8,24.43,50.0,23.56,23.28
23.0,24.43,50.0,23.56,23.28
23.2,24.43,50.0,23.56,23.28
23.4,24.7,50.0,23.56,23.28
23.6,24.7,50.0,23.56,23.28
23.8,24.7,50.0,23.56,23.28
24.0,24.7,50.0,23.56,23.28
24.2,24.7,50.0,23.56,23.28
24.4,24.97,50.0,23.56,23.28
24.6,24.97,50.0,23.56,23.28
24.8,24.97,50.0,23.56,23.28
25.0,24.97,50.0,23.56,23.28
25.2,24.97,50.0,23.56,23.28
25.4,24.97,50.0,23.56,23.28
25.6,25.27,50.0,23.56,23.28
25.8,25.27,50.0,23.56,23.28
26.0,25.27,50.0,23.56,23.28
26.2,25.27,50.0,23.56,23.28
26.4,25.27,50.0,23.56,23.28
26.6,25.54,50.0,23.56,23.28
26.8,25.54,50.0,23.56,23.28
27.0,25.54,50.0,23.56,23.28
27.2,25.54,50.0,23.56,23.28
27.4,25.54,50.0,23.56,23.28
27.6,25.54,50.0,23.56,23.28
27.8,25.54,50.0,23.56,23.28
28.0,25.81,50.0,23.56,23.28
28.2,25.81,50.0,23.56,23.28
28.4,25.81,50.0,23.56,23.28
28.6,25.81,50.0,23.56,23.28
28.8,25.81,50.0,23.56,23.28
29.0,25.81,50.0,23.56,23.28
29.2,25.81,50.0,23.56,23.28
29.4,25.81,50.0,23.56,23.28
29.6,26.08,50.0,23.56,23.28
29.8,26.08,50.0,23.56,23.28
30.0,26.08,50.0,23.56,23.28
30.2,26.08,50.0,23.56,23.28
30.4,26.08,50.0,23.56,23.28
30.6,26.08,50.0,23.56,23.28
30.8,26.08,50.0,23.56,23.28
31.0,26.08,50.0,23.56,23.28
31.2,26.38,50.0,23.56,23.28
31.4,26.38,50.0,23.56,23.28
31.6,26.38,50.0,23.56,23.28
31.8,26.38,50.0,23.56,23.28
32.0,26.38,50.0,23.56,23.28
32.2,26.38,50.0,23.56,23.28
32.4,26.38,50.0,23.56,23.28
32.6,26.67,50.0,23.56,23.28
32.8,26.67,50.0,23.56,23.28
33.0,26.67,50.0,23.56,23.28
33.2,26.67,50.0,23.56,23.28
33.4,26.67,50.0,23.56,23.28
33.6,26.67,50.0,23.56,23.28
33.8,26.97,50.0,23.56,23.28
34.0,26.97,50.0,23.56,23.28
34.2,26.97,50.0,23.56,23.28
34.4,26.97,50.0,23.56,23.28
34.6,26.97,50.0,23.56,23.28
34.8,26.97,50.0,23.56,23.28
35.0,26.97,50.0,23.56,23.28
35.2,27.24,50.0,23.56,23.28
35.4,27.24,50.0,23.56,23.28
35.6,27.24,50.0,23.56,23.28
35.8,27.24,50.0,23.56,23.28
36.0,27.24,50.0,23.56,23.28
36.2,27.24,50.0,23.56,23.28
36.4,27.24,50.0,23.56,23.28
36.6,27.24,50.0,23.56,23.28
36.8,27.51,50.0,23.56,23.28
37.0,27.51,50.0,23.56,23.28
37.2,27.51,50.0,23.56,23.28
37.4,27.51,50.0,23.56,23.28
37.6,27.51,50.0,23.56,23.28
37.8,27.51,50.0,23.56,23.28
38.0,27.51,50.0,23.56,23.28
38.2,27.51,50.0,23.56,23.28
38.4,27.51,50.0,23.56,23.28
38.6,27.8,50.0,23.56,23.28
38.8,27.8,50.0,23.56,23.28
39.0,27.8,50.0,23.56,23.28
39.2,27.8,50.0,23.56,23.28
39.4,27.8,50.0,23.56,23.28
39.6,27.8,50.0,23.56,23.28
39.8,27.8,50.0,23.56,23.28
40.0,28.07,50.0,23.56,23.28
40.2,28.07,50.0,23.56,23.28
40.4,28.07,50.0,23.56,23.28
40.6,28.07,50.0,23.56,23.28
40.8,28.07,50.0,23.56,23.28
41.0,28.07,50.0,23.56,23.28
41.2,28.34,50.0,23.56,23.28
41.4,28.34,50.0,23.56,23.28
41.6,28.34,50.0,23.56,23.28
